WKT,EH,TT,ÜT,Touristen,Gesamt
"MULTIPOLYGON (((8.65114037799446 50.5906779487536,8.65214934469358 50.5909020692481,8.65289884073224 50.5904985898764,8.65263936317434 50.5898709930487,8.65163040714762 50.5896468760738,8.65088091800646 50.5900503524071,8.65114037799446 50.5906779487536)))","431208","170308","117408","287716","718924"
"MULTIPOLYGON (((8.72275436092599 50.5843324421114,8.72376385106368 50.5845559892118,8.72451315164902 50.5841519250305,8.72425295524782 50.583524316796,8.72324347581764 50.5833007732078,8.72249418208126 50.583704834342,8.72275436092599 50.5843324421114)))","577","477","177","654","1231"
"MULTIPOLYGON (((8.67847603299938 50.603584654759,8.67948542123093 50.6038085501816,8.68023500733677 50.6034049639793,8.67997519832921 50.6027774853972,8.67896582078819 50.6025535934905,8.67821624156431 50.6029571766501,8.67847603299938 50.603584654759)))","18568","5168","4768","9936","28504"
"MULTIPOLYGON (((8.70235307490246 50.5638497565127,8.7033620943937 50.5640734761243,8.7041112119628 50.5636694092702,8.70385130318234 50.5630416258478,8.7028422943818 50.5628179097518,8.70209318367111 50.5632219735627,8.70235307490246 50.5638497565127)))","44117","2517","2017","4534","48651"
"MULTIPOLYGON (((8.62414111144062 50.563012846691,8.62514944641701 50.563237195303,8.62589869334817 50.5628337082643,8.62563959839327 50.5622058756469,8.62463127406693 50.5619815305591,8.62388203404558 50.5623850145646,8.62414111144062 50.563012846691)))","1568","368","168","536","2104"
"MULTIPOLYGON (((8.61964551530014 50.5654335514963,8.62065384645103 50.5656579352486,8.62140312720379 50.565254500292,8.62114406989253 50.5646266846161,8.62013574939008 50.5644023043884,8.61938647555055 50.5648057363121,8.61964551530014 50.5654335514963)))","204106","111606","68606","180212","384318"
"MULTIPOLYGON (((8.6297011882427 50.5653901333079,8.63070960540278 50.5656144363026,8.63145886805358 50.5652109256252,8.63119970663779 50.5645831149872,8.63019130013132 50.5643588155159,8.62944204438713 50.5647623231592,8.6297011882427 50.5653901333079)))","306680","189780","105080","294860","601540"
"MULTIPOLYGON (((8.70103698360774 50.6159934282047,8.70204674500486 50.6162171370056,8.70279642411448 50.6158134760376,8.70253633495754 50.615186109315,8.70152658426635 50.6149624040268,8.70077691202627 50.6153660619486,8.70103698360774 50.6159934282047)))","311044","39444","36044","75488","386532"
"MULTIPOLYGON (((8.71417111558343 50.5636186573831,8.71518023310375 50.5638422820227,8.7159293270906 50.5634381248811,8.71566929670668 50.5628103461446,8.71466018988307 50.5625867250192,8.71391110274678 50.5629908791162,8.71417111558343 50.5636186573831)))","224","224","0","224","448"
"MULTIPOLYGON (((8.62454726347755 50.5551202036835,8.62555548814675 50.55534455219,8.62630464980257 50.5549410021989,8.62604557988129 50.5543131067341,8.62503736585991 50.5540887617522,8.62428821111211 50.5544923087105,8.62454726347755 50.5551202036835)))","19519","3719","1519","5238","24757"
"MULTIPOLYGON (((8.69878791404307 50.6172043414046,8.69979767364217 50.6174280678018,8.70054736976853 50.6170244328878,8.70028729942464 50.6163970746227,8.69927755053072 50.6161733517383,8.6985278612756 50.6165769836063,8.69878791404307 50.6172043414046)))","2001","301","201","502","2503"
"MULTIPOLYGON (((8.61445574554122 50.572830653086,8.61546413866136 50.5730550755564,8.61621350779293 50.5726517356727,8.61595447688633 50.5720239763513,8.61494609441421 50.5717995574055,8.61419673220079 50.5722028942566,8.61445574554122 50.572830653086)))","1659","159","159","318","1977"
"MULTIPOLYGON (((8.66992916835265 50.5652077767239,8.67093792900459 50.5654317565109,8.67168711875642 50.5650279429167,8.67142754097637 50.5644001525747,8.67041879099881 50.5641761763067,8.66966960812708 50.5645799868618,8.66992916835265 50.5652077767239)))","3905","305","305","610","4515"
"MULTIPOLYGON (((8.71012526466712 50.6180065115303,8.71113513317929 50.6182301463564,8.7118848176534 50.6178264325959,8.71162462675158 50.6171990870569,8.7106147689507 50.6169754557423,8.70986509134049 50.6173791664553,8.71012526466712 50.6180065115303)))","23568","2068","1768","3836","27404"
"MULTIPOLYGON (((8.69702846575172 50.617384221288,8.69803821284496 50.6176079617684,8.69878791404307 50.6172043414046,8.6985278612756 50.6165769836063,8.6975181248867 50.616353246639,8.69676843056103 50.6167568639569,8.69702846575172 50.617384221288)))","4140","740","340","1080","5220"
"MULTIPOLYGON (((8.72618727156784 50.5594389074899,8.7271964317739 50.5596624371552,8.72794545948081 50.559258158284,8.72768532013994 50.5586303527935,8.7266761706355 50.5584068266416,8.72592714977045 50.5588111024668,8.72618727156784 50.5594389074899)))","2702","2702","1002","3704","6406"
"MULTIPOLYGON (((8.65367730353639 50.5923813493801,8.65468631666565 50.5926054487881,8.65543582649723 50.592201963339,8.65517631630358 50.5915743815207,8.65416731384857 50.5913502856319,8.65341781091311 50.5917537680422,8.65367730353639 50.5923813493801)))","237591","110991","74091","185082","422673"
"MULTIPOLYGON (((8.64062076606397 50.5740896936506,8.64162940276016 50.5743139054108,8.6423787394583 50.5739103789204,8.64211943255928 50.5732826437057,8.64111080652504 50.5730584354672,8.64036147672802 50.5734619589216,8.64062076606397 50.5740896936506)))","946","146","146","292","1238"
"MULTIPOLYGON (((8.62427395949835 50.5943957273462,8.62528274851514 50.5946200622448,8.62603233173577 50.5942168125254,8.6257731190238 50.5935892309426,8.62476434066669 50.5933648995664,8.62401476436199 50.5937681462506,8.62427395949835 50.5943957273462)))","605","205","205","410","1015"
"MULTIPOLYGON (((8.69421613904305 50.595107644154,8.6952255399977 50.5953314164484,8.69597500714313 50.5949276479016,8.69571506646415 50.5943001101047,8.69470567620557 50.594076341325,8.69395621593001 50.5944801068276,8.69421613904305 50.595107644154)))","12993","3893","1893","5786","18779"
"MULTIPOLYGON (((8.67796465668346 50.6222738017792,8.67897431070625 50.6224976936123,8.679724098364 50.6220942532669,8.67946422511307 50.6214669241321,8.67845458178622 50.6212430358139,8.6777048010145 50.6216464731156,8.67796465668346 50.6222738017792)))","6196","3396","1996","5392","11588"
"MULTIPOLYGON (((8.71431970607587 50.6303287305976,8.71532978883881 50.6305523265316,8.71607959813116 50.6301486750072,8.71581931779712 50.6295214305978,8.71480924575142 50.6292978381743,8.71405944332264 50.6297014866498,8.71431970607587 50.6303287305976)))","419149","186149","167349","353498","772647"
"MULTIPOLYGON (((8.62140312720379 50.565254500292,8.62241147091842 50.5654788699986,8.6231607466724 50.5650754205048,8.62290167179979 50.5644476043375,8.62189333873442 50.5642232381554,8.62114406989253 50.5646266846161,8.62140312720379 50.565254500292)))","564500","268000","161500","429500","994000"
"MULTIPOLYGON (((8.68598212412441 50.6194937643561,8.68699180684373 50.6197175928407,8.68774155038327 50.6193140712825,8.68748160432349 50.6186867242845,8.68647193230346 50.6184628993141,8.68572219564406 50.6188664178276,8.68598212412441 50.6194937643561)))","74390","14290","11690","25980","100370"
"MULTIPOLYGON (((8.65785161112926 50.5448476008831,8.65885997435737 50.5450716859329,8.65960896740568 50.5446678083385,8.65934959034201 50.5440398487308,8.65834123777581 50.5438157672026,8.65759225161151 50.5442196417606,8.65785161112926 50.5448476008831)))","6709","4109","2309","6418","13127"
"MULTIPOLYGON (((8.6567916067752 50.5999119226435,8.65780075547657 50.6001359939431,8.65855034060272 50.599732542357,8.65829077013202 50.5991050225109,8.65728163210881 50.5988809547298,8.65653205387824 50.5992844032763,8.6567916067752 50.5999119226435)))","864388","224388","153188","377576","1241964"
"MULTIPOLYGON (((8.70666347932446 50.5476989601793,8.70767230283115 50.5479226516697,8.70842123976147 50.54751842996,8.70816134633284 50.5468905198028,8.70715253351414 50.5466668318285,8.70640360343622 50.5470710504954,8.70666347932446 50.5476989601793)))","2452","752","552","1304","3756"
"MULTIPOLYGON (((8.70972823180639 50.6258943097271,8.71073821100929 50.6261179444687,8.71148798089484 50.6257142936343,8.71122776471191 50.6250870111064,8.71021779622255 50.6248633798761,8.70946803320272 50.6252670276625,8.70972823180639 50.6258943097271)))","9827","1627","1327","2954","12781"
"MULTIPOLYGON (((8.71207024590229 50.631539615453,8.71308032688652 50.6317632289891,8.7138301532163 50.6313596035226,8.71356989169673 50.6307323675687,8.71255982142894 50.6305087575432,8.71181000196444 50.630912379961,8.71207024590229 50.631539615453)))","107479","134479","81379","215858","323337"
